eighborhood,ZIP Code,2018 Median Home Price,5-Year Percent Growth (2013-2018),1-Year Percent Growth (2017-2018),Average Days on Market (2018),Average Square Feet,Owner vs Renter Ratio,Median Household Income,Median Age,Percent Enrolled in Public Schools,Average Commute Time,Walkability
Cypress North,77429,"$248,000 ",30.00%,2.10%,45.2,"2,783",4.26 : 1,"$103,092.00 ",34.7,94.52%,34.2,8
Cypress South,77433,"$293,920 ",30.60%,3.90%,66.2,"2,849",6.44 : 1,"$103,773.00 ",32.4,94.78%,38.7,0
Dayton,77535,"$184,736 ",66.50%,13.30%,56.2,"1,869",3.64 : 1,"$54,873.00 ",36.4,95.40%,34.3,5
Deer Park,77536,"$200,000 ",46.50%,7.00%,28.2,"2,041",3.00 : 1,"$82,420.00 ",36,95.73%,23.7,33
Denver Harbor,77020,"$158,500 ",252.20%,19.80%,34,"1,572",0.82 : 1,"$27,587.00 ",33,98.06%,29.1,57
Dickinson,77539,"$171,000 ",32.00%,3.60%,37.4,"2,018",2.42 : 1,"$71,216.00 ",35.5,92.57%,30.8,26
East End - Galveston,77550,"$215,000 ",42.90%,11.60%,60.6,"1,630",0.60 : 1,"$35,305.00 ",39.9,93.72%,19,51
East End Revitalized,77003,"$285,000 ",146.80%,5.80%,54.3,"1,655",0.51 : 1,"$59,575.00 ",34.1,95.10%,24,64
Eldridge North,77041,"$219,000 ",25.20%,6.80%,40.1,"2,665",2.58 : 1,"$79,503.00 ",35.7,84.43%,28.2,44
Energy Corridor,77077,"$334,750 ",19.80%,-5.70%,56.8,"2,772",0.61 : 1,"$66,587.00 ",34.8,83.33%,27.7,44
Fall Creek Area,77396,"$297,950 ",2.70%,-4.50%,59.8,"3,195",1.73 : 1,"$64,195.00 ",31.3,94.59%,31.1,7
Five Corners,77045,"$165,000 ",65.00%,8.90%,32.9,"1,743",1.93 : 1,"$51,170.00 ",31.3,97.95%,30.6,34
Fort Bend County North/Richmond,77469,"$273,000 ",32.60%,5.00%,65.4,"2,736",2.43 : 1,"$82,214.00 ",35.8,90.36%,30.8,29
Fort Bend Southeast,77469,"$363,870 ",43.20%,4.60%,120.3,"3,216",2.43 : 1,"$82,214.00 ",35.8,90.36%,30.8,29
Friendswood,77546,"$255,000 ",35.60%,2.00%,36.6,"2,667",3.43 : 1,"$98,621.00 ",39.6,91.64%,31.5,21
Fulshear/South Brookshire/Simonton,77441,"$323,000 ",-12.20%,-15.00%,89.7,"2,801",10.95 : 1,"$160,162.00 ",40.8,88.54%,39.3,0
Galleria,77056,"$555,000 ",-2.60%,-15.30%,93.6,"2,934",0.71 : 1,"$107,003.00 ",39.1,42.30%,18.7,67
Garden Oaks,77015,"$490,000 ",36.50%,21.00%,51.9,"2,141",1.06 : 1,"$45,917.00 ",29.2,95.93%,27.3,51
Greenway Plaza,77046,"$835,000 ",83.50%,26.90%,86,"4,067",0.34 : 1,"$90,036.00 ",44.9,N/A,17.4,75
Gulfton,77081,"$195,000 ",44.40%,-0.50%,48.6,"2,047",0.06 : 1,"$29,079.00 ",29.7,97.94%,28.6,68
Heights/Greater Heights,77008,"$500,000 ",33.40%,7.50%,50.7,"2,231",1.03 : 1,"$97,690.00 ",34.9,67.89%,23.6,67
Hempstead,77445,"$150,000 ",17.60%,-3.20%,52.3,"1,675",1.43 : 1,"$43,730.00 ",28.9,99.21%,29.1,0
Highland Village/Midlane,77027,"$954,875 ",26.90%,6.10%,49,"3,257",0.46 : 1,"$91,296.00 ",33.3,38.53%,18.9,69
Hitchcock,77563,"$113,700 ",6.80%,3.40%,33.6,"1,455",2.38 : 1,"$55,652.00 ",39.3,93.03%,29.4,0
Hobby Area,77061,"$147,000 ",73.00%,9.70%,30.3,"1,679",0.52 : 1,"$39,180.00 ",30.2,96.05%,29.8,45
Hockley,77447,"$203,900 ",70.20%,4.00%,57.5,"1,974",3.85 : 1,"$72,775.00 ",35.1,92.17%,39,0
Huffman Area,77336,"$203,400 ",11.90%,-1.60%,52.9,"2,244",3.73 : 1,"$67,563.00 ",35,94.60%,38.8,5
Humble Area East,77338,"$186,495 ",39.80%,4.80%,42.9,"2,061",1.13 : 1,"$50,263.00 ",31.6,96.68%,29.6,24
Humble Area South,77338,"$125,000 ",64.50%,39.00%,55.2,"1,792",1.13 : 1,"$50,263.00 ",31.6,96.68%,29.6,24
Humble Area West,77338,"$155,000 ",59.00%,2.00%,30.5,"1,918",1.13 : 1,"$50,263.00 ",31.6,96.68%,29.6,24
Jersey Village,77040,"$234,900 ",27.70%,5.50%,38.6,"2,418",1.20 : 1,"$55,438.00 ",34.4,91.02%,29.6,33
Katy - North,77449,"$188,044 ",38.60%,3.30%,36,"2,136",2.89 : 1,"$72,397.00 ",31.3,96.01%,33.9,5
Katy - Old Towne,77493,"$285,000 ",28.70%,-0.60%,79.3,"2,634",4.10 : 1,"$85,865.00 ",34.2,92.76%,35.2,0
Katy - Southeast,77450,"$275,000 ",12.20%,1.10%,40.9,"2,789",2.34 : 1,"$101,240.00 ",37.8,95.70%,33.1,4
Katy - Southwest,77494,"$338,000 ",10.90%,0.90%,58.3,"3,132",4.66 : 1,"$137,600.00 ",34.8,95.89%,36.3,0
Kingwood East,77345,"$286,663 ",14.70%,-2.80%,51.2,"2,977",5.73 : 1,"$128,646.00 ",40.6,92.57%,35.6,21
Kingwood NW/Oakhurst,77339,"$268,000 ",7.60%,-4.30%,48.6,"2,811",1.67 : 1,"$73,466.00 ",38.8,92.51%,31.6,21
Kingwood South,77338,"$244,000 ",28.40%,0.00%,35,"2,793",1.13 : 1,"$50,263.00 ",31.6,96.68%,29.6,21
Kingwood West,77339,"$208,000 ",34.20%,4.10%,36.3,"2,373",1.67 : 1,"$73,466.00 ",38.8,92.51%,31.6,21
Knollwood/Woodside Area,77025,"$410,000 ",9.30%,-10.10%,54.2,"2,412",0.70 : 1,"$71,990.00 ",36.3,71.34%,24,52
La Marque,77568,"$167,500 ",156.50%,9.50%,39.6,"1,799",2.06 : 1,"$44,381.00 ",40.2,94.32%,25.1,25
La Porte/Shoreacres,77571,"$180,000 ",41.70%,2.90%,27.4,"1,840",2.62 : 1,"$75,232.00 ",37.7,94.59%,26.7,25
Lake Conroe Area,77356,"$246,750 ",24.80%,5.00%,68.8,"2,470",4.79 : 1,"$77,444.00 ",49.4,86.69%,40,3
Lake Livingston Area,77351,"$149,900 ",32.10%,7.10%,100.5,"1,697",N/A,"$45,207.00 ",43.5,90.63%,29.6,0
League City,77573,"$267,010 ",40.50%,2.30%,44.4,"2,486",2.87 : 1,"$103,922.00 ",34.9,90.90%,30.4,21
Liberty,77575,"$137,500 ",57.20%,2.60%,53.4,"1,760",2.73 : 1,"$55,156.00 ",33.7,93.86%,36.5,9
Magnolia/1488 East,77354,"$317,485 ",27.00%,1.80%,66,"2,745",6.32 : 1,"$79,440.00 ",38,88.84%,34.4,0
Magnolia/1488 West,77355,"$248,000 ",24.00%,0.80%,61.6,"2,493",4.32 : 1,"$83,713.00 ",40.1,82.81%,40.2,0
Medical Center Area,77030,"$330,056 ",13.40%,10.00%,68.4,"2,379",0.70 : 1,"$75,290.00 ",33.9,82.57%,19.6,63
Medical Center South,77051,"$147,000 ",77.10%,15.70%,38.2,"1,580",0.65 : 1,"$27,244.00 ",34.3,98.13%,27,40
Memorial Close In,77024,"$1,900,000 ",67.40%,51.10%,97.1,"5,387",2.05 : 1,"$118,561.00 ",44.3,72.39%,21.1,43
Memorial Park,77007,"$1,285,000 ",-4.80%,-14.30%,62.9,"4,221",0.81 : 1,"$121,458.00 ",33.8,67.35%,22.4,65
Memorial Villages,77024,"$1,518,750 ",26.60%,1.30%,69.4,"4,769",2.05 : 1,"$118,561.00 ",44.3,72.39%,21.1,11
Memorial West,77079,"$628,500 ",4.80%,-8.90%,61.4,"3,121",1.55 : 1,"$98,774.00 ",39.5,89.31%,26.4,43
Meyerland Area,77096,"$305,000 ",-17.60%,-18.10%,69.7,"2,716",0.92 : 1,"$61,583.00 ",36.3,82.57%,26.3,53
Midtown - Galveston,77550,"$160,000 ",42.90%,2.90%,52.8,"1,453",0.60 : 1,"$35,305.00 ",39.9,93.72%,19,51
Midtown - Houston,77004,"$383,000 ",15.10%,-4.20%,49.2,"2,113",0.39 : 1,"$48,592.00 ",28.3,92.13%,21.3,69
Mission Bend Area,77083,"$188,000 ",54.10%,5.00%,36.7,"2,127",2.23 : 1,"$54,786.00 ",33,94.65%,32.9,28
Missouri City Area,77459,"$200,000 ",33.30%,7.00%,42.7,"2,255",7.19 : 1,"$112,161.00 ",38.5,91.39%,33.1,24
Montrose,77006,"$630,000 ",26.30%,0.00%,57.4,"2,738",0.46 : 1,"$82,878.00 ",34.3,71.43%,18.5,82
Near West End - Galveston,77554,"$226,000 ",22.20%,-5.80%,59,"2,081",1.68 : 1,"$66,833.00 ",49.2,83.80%,33,51
North Channel,77015,"$160,190 ",69.70%,6.80%,41,"1,812",1.06 : 1,"$45,917.00 ",29.2,95.93%,27.3,44
Northeast Houston,77028,"$119,450 ",109.60%,16.00%,40.2,"1,571",1.51 : 1,"$30,233.00 ",38.6,93.15%,26.7,27
Northside,77092,"$140,000 ",139.30%,16.70%,48.5,"1,460",0.68 : 1,"$39,921.00 ",33,97.23%,26.8,55
Northwest Houston,77088,"$166,250 ",66.30%,12.70%,35.5,"1,771",1.46 : 1,"$44,472.00 ",33.4,98.13%,30.9,28
Oak Forest East Area,77018,"$415,000 ",36.30%,2.80%,45.4,"2,225",1.97 : 1,"$81,565.00 ",37.7,85.39%,27.3,51
Oak Forest West Area,77092,"$261,000 ",51.30%,1.40%,55.8,"1,653",0.68 : 1,"$39,921.00 ",33,97.23%,26.8,51
Omega Bay,77563,"$315,000 ",24.50%,16.30%,112.6,"1,692",2.38 : 1,"$55,652.00 ",39.3,93.03%,29.4,0
Pasadena,77506,"$158,000 ",54.40%,6.40%,27,"1,739",0.63 : 1,"$34,838.00 ",28.2,98.28%,27,44
Pearland,77581,"$265,000 ",37.30%,3.10%,40.3,"2,555",3.50 : 1,"$89,931.00 ",35.6,89.40%,31.6,24
Plantersville Area,77363,"$232,250 ",68.30%,50.20%,34.8,"2,084",N/A,"$47,826.00 ",48.2,96.97%,34.6,0
Porter/New Caney East,77357,"$238,730 ",93.70%,-3.60%,65.6,"2,329",3.00 : 1,"$47,805.00 ",31.4,98.66%,35.6,0
Porter/New Caney West,77365,"$208,313 ",33.50%,1.60%,58,"2,129",2.47 : 1,"$72,623.00 ",37,91.78%,32.1,0
Rice Military/Washington Corridor,77007,"$440,000 ",6.00%,0.00%,60.4,"2,393",0.81 : 1,"$121,458.00 ",33.8,67.35%,22.4,65
Rice/Museum District,77005,"$861,000 ",28.60%,5.00%,55.4,"3,165",2.28 : 1,"$180,758.00 ",36.5,43.69%,19.7,79
River Oaks Area,77019,"$2,210,000 ",49.10%,22.10%,84.8,"4,873",0.77 : 1,"$112,243.00 ",39.4,54.62%,19.5,63
Rivercrest,77042,"$2,190,000 ",-41.40%,-35.50%,60,"7,485",0.32 : 1,"$47,297.00 ",31.2,84.04%,25.7,47
Riverside,77004,"$328,325 ",37.70%,6.60%,60.4,"2,465",0.39 : 1,"$48,592.00 ",28.3,92.13%,21.3,69
Royden Oaks/Afton Oaks,77027,"$1,327,500 ",90.30%,59.90%,92.9,"3,941",0.46 : 1,"$91,296.00 ",33.3,38.53%,18.9,63
Santa Fe,77510,"$215,000 ",54.40%,4.90%,40,"1,888",3.78 : 1,"$69,647.00 ",44.2,94.33%,28.8,0
Sharpstown Area,77036,"$210,000 ",57.90%,7.70%,43.3,"1,954",0.22 : 1,"$29,744.00 ",30,97.06%,27.9,62
Shepherd Park Plaza Area,77018,"$425,000 ",21.70%,-3.30%,40.7,"2,205",1.97 : 1,"$81,565.00 ",37.7,85.39%,27.3,30
Sienna Area,77459,"$325,000 ",14.00%,-1.50%,72,"3,103",7.19 : 1,"$112,161.00 ",38.5,91.39%,33.1,0
South Houston,77587,"$120,000 ",86.00%,0.00%,24,"1,422",1.15 : 1,"$44,371.00 ",28.6,98.99%,30.4,57
Southbelt/Ellington,77034,"$183,500 ",45.90%,3.10%,34,"2,041",1.01 : 1,"$47,252.00 ",28.1,94.61%,27.3,35
Spring Branch,77055,"$341,200 ",56.50%,3.40%,61.7,"2,289",0.73 : 1,"$52,269.00 ",33.3,88.75%,24.5,49
Spring East,77373,"$164,950 ",44.70%,6.40%,32.1,"1,985",2.49 : 1,"$67,924.00 ",33.9,92.71%,32.4,22
Spring Northeast,77386,"$263,500 ",44.10%,5.40%,58.6,"2,643",4.11 : 1,"$99,076.00 ",32.4,91.70%,31.8,22
Spring/Klein,77388,"$220,000 ",26.90%,0.90%,47.4,"2,551",5.14 : 1,"$87,574.00 ",37.6,91.90%,32.4,22
Spring/Klein/Tomball,77375,"$229,002 ",33.10%,3.40%,47.2,"2,552",2.45 : 1,"$69,446.00 ",33.1,90.99%,30.1,22
Stafford Area,77477,"$175,000 ",50.90%,6.10%,33.3,"2,055",0.76 : 1,"$58,524.00 ",33.6,91.72%,25.4,25
Sugar Land East,77478,"$319,238 ",22.10%,0.50%,43.4,"2,811",2.63 : 1,"$91,431.00 ",46.1,85.74%,27.8,24
Sugar Land North,77498,"$226,000 ",28.80%,-3.80%,49,"2,347",2.85 : 1,"$80,307.00 ",35.4,94.43%,31.8,24
Sugar Land South,77479,"$434,000 ",15.10%,-1.10%,76.1,"3,387",5.89 : 1,"$135,952.00 ",39.1,87.29%,32,24
Sugar Land West,77407,"$325,000 ",15.70%,1.20%,65.3,"2,977",N/A,"$96,947.00 ",32.4,96.06%,38.6,24
Summerwood/Lakeshore,77044,"$277,748 ",19.00%,-2.10%,69.6,"2,901",3.68 : 1,"$76,387.00 ",30.2,92.42%,32.5,0
Tanglewood Area,77056,"$1,490,000 ",17.40%,4.90%,90.3,"4,837",0.71 : 1,"$107,003.00 ",39.1,42.30%,18.7,67
Texas City,77590,"$165,000 ",114.40%,20.00%,48.8,"1,759",1.37 : 1,"$41,697.00 ",38.8,96.10%,24,35
The Woodlands,77380,"$378,000 ",17.10%,5.70%,49.1,"3,094",0.77 : 1,"$68,839.00 ",37.1,86.59%,25.4,18
Tiki Island,77554,"$475,000 ",19.90%,-1.00%,84.1,"2,161",1.68 : 1,"$66,833.00 ",49.2,83.80%,33,0
Timbergrove/Lazybrook,77008,"$447,600 ",27.90%,4.10%,52,"2,117",1.03 : 1,"$97,690.00 ",34.9,67.89%,23.6,50
Tomball,77375,"$303,699 ",73.10%,40.90%,74.1,"2,729",2.45 : 1,"$69,446.00 ",33.1,90.99%,30.1,2
Treasure Island - Galveston,77541,"$272,000 ",13.20%,8.20%,93.7,"1,306",1.56 : 1,"$48,390.00 ",32.7,97.92%,18.8,51
University Area,77021,"$160,500 ",107.10%,6.30%,46.7,"1,617",0.71 : 1,"$35,126.00 ",33.6,89.31%,25.2,53
Upper Kirby,77098,"$830,900 ",10.30%,11.90%,78.8,"3,146",0.33 : 1,"$87,820.00 ",34.3,68.88%,19.3,46
Waller,77484,"$210,000 ",44.80%,9.10%,52.1,"1,956",2.26 : 1,"$66,000.00 ",39.8,96.08%,33.5,1
Washington East/Sabine,77007,"$420,000 ",27.70%,1.20%,71.6,"2,239",0.81 : 1,"$121,458.00 ",33.8,67.35%,22.4,65
Webster,77598,"$331,351 ",113.80%,7.70%,89.3,"2,875",0.26 : 1,"$52,167.00 ",30.2,95.37%,23.7,23
West End - Galveston,77554,"$364,250 ",32.40%,9.60%,95.1,"1,754",1.68 : 1,"$66,833.00 ",49.2,83.80%,33,51
West University/Southside Area,77005,"$1,272,460 ",33.90%,3.30%,49.6,"3,632",2.28 : 1,"$180,758.00 ",36.5,43.69%,19.7,70
Westchase Area,77042,"$648,750 ",-1.00%,2.20%,91.5,"3,591",0.32 : 1,"$47,297.00 ",31.2,84.04%,25.7,54
Willis/New Waverly,77318/77378,"$164,000 ",78.30%,3.50%,48.3,"1,780",3.61 : 1/ 2.53 : 1,"$61,722.00 / $55,114.00",45.4/ 32,93.62%/ 93.53%,39/ 32.4,8
Willow Meadows Area,77035,"$284,000 ",9.90%,-2.10%,63.8,"2,115",0.74 : 1,"$44,546.00 ",33.6,93.63%,27.6,44
Willowbrook,77064,"$176,750 ",49.20%,10.50%,28.7,"1,967",1.56 : 1,"$67,763.00 ",34.7,93.60%,29.9,48
